"quality_parameter_id","item_id","quality_parameter_type_flag","status"
"QPARAM0101","ITEM124","1","active"
"QPARAM0101","ITEM126","2","active"
"QPARAM964","BEA01","2","active"
"QPARAM972","DIE01","1","active"
"QPARAM972","DIE01","1","active"
"QPARAM973","DIE01","0","active"
"QPARAM984","BEA01","0","active"
"QPARAM985","BEA08","0","active"
"QPARAM987","BEA08","0","active"
"QPARAM988","BEA08","0","inactive"
"QPARAM0101","ITEM125","0","active"
"QPARAM1009","TAT01","0",
"QPARAM1019","TAT01","2",
"QPARAM1057","TAT01","1",
"QPARAM1058","","1",
"QPARAM1058","","2",
"QPARAM1061","","2",
"QPARAM1068","","1",
"QPARAM1074","PAC05","1",
"QPARAM1074","PAC05","1",
"QPARAM1074","PAC05","0",
"QPARAM1074","PAC05","0",
"QPARAM1076","LUB02","0",
"QPARAM1088","PAC05","0",
"QPARAM1088","DIE03","1",
"QPARAM1088","DIE03","1",
"QPARAM1088","TAT01","2",
"QPARAM1161","TAT01","1",
"QPARAM1161",,"2",
"QPARAM1169","MIG01","1",
"QPARAM1170","CON01","1",
"QPARAM1170","CON01","1",
"QPARAM1170","FLUX02","1",
"QPARAM1170","FLUX02","1",
"QPARAM1171","FLUX02","1",
"QPARAM1171","FLUX02","1",
"QPARAM1176","TAT01","1",
"QPARAM1176","TAT01","1",
"QPARAM1176","TAT01","1",
"QPARAM1176","TAT01","1",
"QPARAM1176","TAT01","1",
"QPARAM1176","TAT01","1",
"QPARAM1178","TAT01","1",
"QPARAM1207","","2",
"QPARAM1227","TAT01","1",
"QPARAM1227","TAT01","1",
"QPARAM1233","TAT01","1",
"QPARAM1233","TAT01","1",
"QPARAM1233","TAT01","1",
"QPARAM1290",,"2",
"QPARAM1317","TAT01","2",
"QPARAM2123","FLUX01","0",
