"quality_parameter_id","quality_parameter_name"
"QPARAM001","SIZE "
"QPARAM002","COLOUR"
"QPARAM003","WEIGHT"
"QPARAM004","DIMENSION"
"QPARAM005","LENGTH  "
"QPARAM006","WIDTH  "
"QPARAM007","DIAMETER"
"QPARAM008","CASE SIZE  "
"QPARAM009","THICKNESS"
"QPARAM010","INNER DIAMETER  "
"QPARAM011","RA  "
"QPARAM012","MOISTURE CAPABILITY"
"QPARAM013","FAT  "
"QPARAM014","SPECIFIC GRAVITY"
"QPARAM015","POWDER & GRAIN"
"QPARAM016","OTHERS"
"QPARAM017","STABILITY CONDITION"
"QPARAM018","3-PLY"
"QPARAM019","HOLES"
"QPARAM020","ELASICITY TEST"
"QPARAM021","BORE SIZE"
"QPARAM022","HELIX"
"QPARAM023","SURFACE CONDITION"
"QPARAM024","PURITY TEST"
"QPARAM025","SEALING "
"QPARAM026","CRIMPING "
"QPARAM027","HARDNESS"
"QPARAM028","LAYER WINDING"
"QPARAM029","RANDOM"
"QPARAM030","ELONGATION"
"QPARAM031","MATERIAL "
"QPARAM032","COATING"
"QPARAM033","CHEMICAL"
"QPARAM034","UTS"
"QPARAM035","GRAIN SIZE"
"QPARAM036","PH"
"QPARAM037","COPPER LEVEL"
"QPARAM038","LEVEL"
"QPARAM039","TEXTURE"
"QPARAM040","DENSITY"
"QPARAM041","CUTTING"
"QPARAM042","PRINTING"
"QPARAM043","INNER POLY COAT"
"QPARAM044","PELLET"
"QPARAM045","GRADE"
"QPARAM046","OUTER DIAMETER"
"QPARAM047","CAST"
"QPARAM481","shape"
"","abc"
"QPARAM0101","test param"
"","s"
"QPARAM946","q"
"QPARAM946","q"
"QPARAM964",""
"QPARAM965",""
"QPARAM968",""
"QPARAM971",""
"QPARAM972","wdwsd"
"QPARAM972","wdwsd"
"QPARAM972","wdwsd"
"QPARAM973","sa"
"QPARAM982","sderg"
"QPARAM983",""
"QPARAM983",""
"QPARAM984","sdasdf"
"QPARAM984","sdasdf"
"QPARAM985","rerer"
"QPARAM986","sd"
"QPARAM987","thytyh"
"QPARAM988",""
"QPARAM1009",""
"QPARAM1019","testsample"
"QPARAM1057",""
"QPARAM1058",""
"QPARAM1058",""
"QPARAM1061",""
"QPARAM1068",""
"QPARAM1074",""
"QPARAM1074",""
"QPARAM1074",""
"QPARAM1074",""
"QPARAM1076",""
"QPARAM1088","sample"
"QPARAM1088","sample"
"QPARAM1088","sample"
"QPARAM1088","sample"
"QPARAM1161","lennnnkjhjiivjf"
"QPARAM1161","lennnnkjhjiivjf"
"QPARAM1169","se"
"QPARAM1170","s"
"QPARAM1170","s"
"QPARAM1170","s"
"QPARAM1170","s"
"QPARAM1171","r"
"QPARAM1171","r"
"QPARAM1176","kjlhnjh"
"QPARAM1176","kjlhnjh"
"QPARAM1176","kjlhnjh"
"QPARAM1176","kjlhnjh"
"QPARAM1176","kjlhnjh"
"QPARAM1176","kjlhnjh"
"QPARAM1178","ftdegdfg"
"QPARAM1207","fgdf"
"QPARAM1227","ty"
"QPARAM1227","ty"
"QPARAM1233","hjn"
"QPARAM1233","hjn"
"QPARAM1233","hjn"
"QPARAM1290","fghfg"
"QPARAM1317","rsdgdf"
"QPARAM2123","test12"
