"item_id","quality_parameter_id","minimum_value","maximum_value"
"BEA01","QPARAM006",,
"BEA01","QPARAM010",,
"BEA01","QPARAM027",,
"BEA01","QPARAM046",,
"BEA02","QPARAM006",,
"BEA02","QPARAM010",,
"BEA02","QPARAM027",,
"BEA02","QPARAM046",,
"BEA03","QPARAM006",,
"BEA03","QPARAM010",,
"BEA03","QPARAM027",,
"BEA03","QPARAM046",,
"BEA04","QPARAM006",,
"BEA04","QPARAM010",,
"BEA04","QPARAM027",,
"BEA04","QPARAM046",,
"BEA05","QPARAM006",,
"BEA05","QPARAM010",,
"BEA05","QPARAM027",,
"BEA05","QPARAM046",,
"BEA06","QPARAM006",,
"BEA06","QPARAM010",,
"BEA06","QPARAM027",,
"BEA06","QPARAM046",,
"BEA07","QPARAM006",,
"BEA07","QPARAM010",,
"BEA07","QPARAM027",,
"BEA07","QPARAM046",,
"BEA08","QPARAM006",,
"BEA08","QPARAM010",,
"BEA08","QPARAM027",,
"BEA08","QPARAM046",,
"BEA09","QPARAM006",,
"BEA09","QPARAM010",,
"BEA09","QPARAM027",,
"BEA09","QPARAM046",,
"BEA10","QPARAM006",,
"BEA10","QPARAM010",,
"BEA10","QPARAM027",,
"BEA10","QPARAM046",,
"BEA11","QPARAM006",,
"BEA11","QPARAM010",,
"BEA11","QPARAM027",,
"BEA11","QPARAM046",,
"BEA12","QPARAM006",,
"BEA12","QPARAM010",,
"BEA12","QPARAM027",,
"BEA12","QPARAM046",,
"BEA13","QPARAM006",,
"BEA13","QPARAM010",,
"BEA13","QPARAM027",,
"BEA13","QPARAM046",,
"BEA14","QPARAM006",,
"BEA14","QPARAM010",,
"BEA14","QPARAM027",,
"BEA14","QPARAM046",,
"BEA15","QPARAM006",,
"BEA15","QPARAM010",,
"BEA15","QPARAM027",,
"BEA15","QPARAM046",,
"BEA16","QPARAM006",,
"BEA16","QPARAM010",,
"BEA16","QPARAM027",,
"BEA16","QPARAM046",,
"BEA17","QPARAM006",,
"BEA17","QPARAM010",,
"BEA17","QPARAM027",,
"BEA17","QPARAM046",,
"BEA18","QPARAM006",,
"BEA18","QPARAM010",,
"BEA18","QPARAM027",,
"BEA18","QPARAM046",,
"BEA19","QPARAM006",,
"BEA19","QPARAM010",,
"BEA19","QPARAM027",,
"BEA19","QPARAM046",,
"BEA20","QPARAM006",,
"BEA20","QPARAM010",,
"BEA20","QPARAM027",,
"BEA20","QPARAM046",,
"BEA21","QPARAM006",,
"BEA21","QPARAM010",,
"BEA21","QPARAM027",,
"BEA21","QPARAM046",,
"BEA22","QPARAM006",,
"BEA22","QPARAM010",,
"BEA22","QPARAM027",,
"BEA22","QPARAM046",,
"CON01","QPARAM002","WHITE ","3"
"CON01","QPARAM014","0.018",
"CON01","QPARAM016",,
"CON01","QPARAM024","Pass","Fail"
"CON01","QPARAM038","92","98"
"CON02","QPARAM002","WHITE ","3"
"CON02","QPARAM015","Large",
"CON02","QPARAM015","Normal",
"CON02","QPARAM015","Small",
"CON02","QPARAM016",,
"CON02","QPARAM024","Pass","Fail"
"CON02","QPARAM037",,
"CON03","QPARAM002","WHITE ","3"
"CON03","QPARAM016","Pass","Fail"
"CON03","QPARAM035",,
"CON04","QPARAM003","600","700"
"CON04","QPARAM004","D300XW100",
"CON04","QPARAM016","Pass","Fail"
"CON04","QPARAM017","Pass","Fail"
"CON05","QPARAM003","600","700"
"CON05","QPARAM004","D270XW100",
"CON05","QPARAM016","Pass","Fail"
"CON05","QPARAM017","Pass","Fail"
"CON06","QPARAM003","0.65",
"CON06","QPARAM039","Pass","Fail"
"CON07","QPARAM002","WHITE ","3"
"CON07","QPARAM040","Pass","Fail"
"DIE01","QPARAM008","43X28",
"DIE01","QPARAM021","0.77",
"DIE01","QPARAM044","17X15",
"DIE02","QPARAM008","43X28",
"DIE02","QPARAM021","0.96",
"DIE02","QPARAM044","17X15",
"DIE03","QPARAM008","43X28",
"DIE03","QPARAM021","1.17",
"DIE03","QPARAM044","17X15",
"DIE04","QPARAM008","43X28",
"DIE04","QPARAM021","3.7",
"DIE04","QPARAM044","17X15",
"DIE05","QPARAM008","43X28",
"DIE05","QPARAM021","3.25",
"DIE05","QPARAM044","17X15",
"DIE06","QPARAM008","43X28",
"DIE06","QPARAM021","4.8",
"DIE06","QPARAM044","22X18",
"DIE07","QPARAM002","WHITE ","3"
"DIE07","QPARAM045","Pass","Fail"
"DIE08","QPARAM009",,
"DIE08","QPARAM048",,
"DIE09","QPARAM008","43X28",
"DIE09","QPARAM021","3.96",
"DIE09","QPARAM044","22x18",
"DIE10","QPARAM008","43X28",
"DIE10","QPARAM021","0.8",
"DIE10","QPARAM044","17X15",
"DIE11","QPARAM008","43X28",
"DIE11","QPARAM021","1.12",
"DIE11","QPARAM044","17X15",
"DIE12","QPARAM008","43X28",
"DIE12","QPARAM021","1.02",
"DIE12","QPARAM044","17X15",
"LUB07","QPARAM002","WHITE ","3"
"LUB07","QPARAM013","01",
"LUB07","QPARAM016","Pass","Fail"
"LUB07","QPARAM036","10","14"
"LUB08","QPARAM002","WHITE ","3"
"LUB08","QPARAM013","01",
"LUB08","QPARAM016","Pass","Fail"
"LUB08","QPARAM036","10","14"
"LUB09","QPARAM002","WHITE ","3"
"LUB09","QPARAM013","01",
"LUB09","QPARAM016","Pass","Fail"
"LUB09","QPARAM036","10","14"
"LUB10","QPARAM002","WHITE ","3"
